age,income,risk_tolerance,investment_horizon,risk_level
59,185989,2,30,1
52,126731,3,1,2
24,182638,2,4,2
33,92823,4,18,3
43,181878,2,5,1
65,31759,1,19,1
69,122374,3,15,2
66,163554,2,28,1
19,54442,4,8,3
18,194791,4,20,3
65,123501,2,17,1
29,32079,4,1,3
22,163789,5,12,4
54,89676,5,26,3
49,189024,5,19,3
26,120397,1,15,1
58,102847,2,9,1
52,123607,1,7,1
36,179521,4,2,2
65,194608,1,29,1
33,94077,4,9,3
20,68258,4,10,3
37,189937,3,2,2
41,167717,5,19,3
50,149771,4,11,2
41,68000,3,13,2
69,56737,5,10,3
28,41485,4,14,3
66,68565,4,18,3
25,186594,1,19,1
53,149614,1,22,1
55,95155,5,9,3
57,82487,4,25,2
37,159948,2,7,1
52,42342,1,28,1
65,70806,5,3,3
42,78770,4,20,3
52,108623,4,6,2
42,133177,2,27,1
46,161026,5,21,3
35,105629,4,2,2
63,150993,1,29,1
35,156944,2,6,1
19,135947,5,3,3
52,56399,2,16,2
33,158177,1,30,1
58,139575,5,8,3
53,140904,2,2,1
50,60678,3,17,2
21,106218,1,9,1
50,93230,1,30,1
31,104055,1,12,1
38,192552,3,3,2
65,102258,3,11,2
37,69986,4,1,3
25,185232,2,23,2
24,115595,4,13,3
20,131358,2,15,2
34,94929,3,26,2
50,103506,3,5,2
65,64911,4,21,3
29,117127,5,30,4
68,192893,4,17,2
39,143453,2,25,1
39,114458,4,23,2
63,42175,1,24,1
47,149235,2,25,1
55,84771,2,6,1
55,157157,5,28,3
62,151300,3,21,2
68,116925,2,22,1
25,96358,3,11,2
44,178399,4,18,2
44,77057,1,4,1
51,36150,5,3,3
38,34425,3,13,2
47,46032,2,23,2
50,32198,3,9,2
45,181151,2,21,1
64,197292,3,6,2
50,174931,2,26,1
22,192491,4,30,3
65,148865,2,28,1
36,169777,2,12,1
21,53236,1,2,1
52,117955,2,3,1
66,133145,1,3,1
34,176430,5,28,4
61,124914,1,12,1
45,132870,4,15,2
47,146243,1,9,1
46,44596,5,23,3
63,194644,4,8,2
23,162351,3,11,2
52,141496,3,16,2
58,160273,1,26,1
54,168155,1,27,1
41,150674,5,25,3
46,150307,5,22,3
66,178843,2,4,1
63,191047,5,28,3
48,49063,2,1,2
52,97642,4,24,2
50,120093,1,7,1
69,198671,4,2,2
38,189601,5,24,3
49,65954,4,28,3
40,57856,4,5,3
50,32573,4,7,3
20,65367,5,4,4
35,129608,4,5,2
42,90774,2,24,1
59,53752,5,1,3
48,85029,4,1,2
20,178757,5,15,4
57,160282,3,20,2
63,81693,2,19,1
41,146739,4,29,2
67,85961,3,10,2
49,156678,3,28,2
64,104532,5,18,3
39,111994,3,28,2
40,86133,2,3,1
19,91268,2,11,2
44,199315,1,15,1
59,61653,2,27,2
19,187729,3,30,2
43,183252,2,11,1
34,151829,5,17,4
57,158377,1,17,1
50,31622,3,6,2
26,78756,1,5,1
60,70809,3,8,2
65,46725,5,2,3
56,81226,1,16,1
46,111182,4,20,2
59,59402,3,24,2
43,34263,4,12,3
52,77924,1,6,1
67,104182,4,1,2
42,172736,4,4,2
41,65737,1,17,1
30,131332,5,13,4
24,119563,4,18,3
53,190445,4,5,2
62,197469,5,30,3
37,158575,4,24,2
18,131371,4,24,3
25,68709,4,27,3
63,180322,2,3,1
33,51172,5,11,4
31,41555,4,13,3
29,83276,5,4,3
68,87492,3,26,2
40,119599,3,27,2
32,185834,4,14,3
45,41046,5,22,3
51,146021,5,11,3
19,189841,5,27,4
49,184222,2,10,1
40,34853,3,19,2
39,150900,5,18,3
68,182864,5,6,3
42,89129,2,27,1
39,144130,2,29,1
39,193059,5,15,3
66,176922,1,21,1
69,173184,5,30,3
59,151789,5,10,3
23,185130,2,5,2
32,68890,2,26,2
60,96017,5,29,3
54,193993,5,5,3
50,162596,5,10,3
25,130424,2,28,2
61,45048,5,5,3
61,196183,5,3,3
22,198976,4,23,3
56,84912,1,6,1
21,64008,3,4,2
23,161132,1,18,1
62,113559,4,28,2
49,85337,3,9,2
69,140616,5,17,3
47,43350,4,29,3
64,54354,5,13,3
52,75186,2,27,2
57,58145,4,15,3
69,195092,2,30,1
33,116123,4,20,3
30,50581,4,17,3
67,118929,2,13,1
59,53051,3,16,2
47,81474,1,22,1
36,121748,5,4,3
34,155995,4,5,3
36,99626,5,5,3
45,36960,2,9,2
43,196844,5,17,3
54,182592,2,13,1
43,66408,5,2,3
40,124006,1,13,1
26,87134,1,22,1
29,181563,1,21,1
18,162413,1,27,1
18,120327,1,23,1
64,161410,1,19,1
51,173326,2,3,1
49,41344,4,10,3
65,162822,5,2,3
42,97957,1,13,1
57,135423,2,19,1
62,88053,2,26,1
18,176968,2,17,2
33,107454,4,21,3
56,120600,5,14,3
22,152732,4,12,3
39,189007,3,21,2
46,67641,2,12,2
20,59711,3,11,3
29,100342,1,7,1
43,136896,1,4,1
33,173254,4,19,3
68,117833,5,1,3
54,86276,3,28,2
39,49541,5,24,3
46,124457,4,29,2
31,74813,1,3,1
45,198270,5,13,3
22,169892,5,15,4
64,54070,1,2,1
66,172194,3,11,2
47,110559,1,4,1
63,71786,5,19,3
69,167809,3,29,2
22,66062,3,17,3
29,81571,1,3,1
33,55510,5,28,4
43,49426,4,18,3
43,67265,5,8,3
65,178922,2,22,1
38,96150,4,25,2
56,117312,3,24,2
53,119613,4,26,2
50,104910,3,19,2
47,82375,3,5,2
54,151826,4,7,2
40,65435,3,21,2
27,126443,3,8,2
22,164055,2,28,2
53,181734,5,5,3
51,53510,5,17,3
69,124071,2,5,1
48,36640,4,4,3
27,74547,1,22,1
36,84620,1,19,1
49,176389,1,27,1
18,145608,2,21,2
22,37564,2,2,2
62,188417,3,11,2
21,143824,1,22,1
33,109273,4,13,3
41,104859,4,15,2
33,140017,1,12,1
19,153618,1,22,1
66,155341,1,21,1
45,59430,2,22,2
49,57788,2,11,2
44,174991,2,7,1
37,99346,5,28,3
41,126122,4,5,2
29,69974,4,17,3
67,137309,3,24,2
52,46371,2,20,2
50,75084,5,9,3
50,190701,5,14,3
68,91916,4,26,2
60,103972,2,12,1
54,42984,3,6,2
29,63039,2,17,2
20,115431,1,19,1
18,113691,2,19,2
50,88606,1,26,1
57,171688,1,16,1
27,132665,3,12,2
60,135373,4,12,2
61,54574,2,20,2
46,164502,1,6,1
30,173748,2,23,2
29,171888,4,26,3
48,62733,4,4,3
63,32050,5,6,3
19,139996,4,11,3
68,63933,3,1,2
67,54951,1,30,1
52,62413,5,24,3
40,195873,3,23,2
34,193985,2,15,2
43,142573,1,27,1
25,196472,4,11,3
46,165566,1,25,1
43,152744,2,19,1
27,119431,5,18,4
43,73001,5,17,3
51,97364,5,19,3
68,154988,4,21,2
58,75028,3,14,2
24,198645,3,27,2
21,161878,1,18,1
67,154343,4,28,2
62,158301,5,19,3
28,156295,5,15,4
46,190829,2,15,1
53,64636,2,4,2
42,54262,5,7,3
38,110435,5,13,3
53,158583,4,3,2
27,199269,3,16,2
54,71844,2,9,2
26,94754,3,8,2
41,195229,4,20,2
52,107129,5,13,3
66,70042,3,17,2
52,91665,5,17,3
65,146953,5,17,3
53,188448,1,1,1
35,175271,3,8,2
66,148533,3,19,2
56,103781,5,6,3
49,96262,4,3,2
41,76600,1,27,1
40,106898,5,5,3
49,179369,2,13,1
54,60448,2,15,2
29,56172,1,14,1
66,37657,4,29,3
30,186497,5,23,4
40,187757,3,16,2
42,142855,1,18,1
52,185650,4,22,2
58,189903,3,29,2
47,37906,2,22,2
34,91413,2,11,2
66,84028,3,3,2
37,37287,1,22,1
65,63660,2,10,2
42,90504,5,10,3
39,132979,3,30,2
30,64701,3,21,3
36,113300,2,16,1
66,178746,1,12,1
53,113560,5,2,3
29,184946,1,9,1
58,73642,4,24,3
36,95160,4,3,2
29,47602,2,24,2
26,133320,2,30,2
24,118801,2,25,2
45,55931,4,30,3
31,124377,1,15,1
48,59192,1,3,1
69,76542,2,19,2
36,157015,5,18,3
64,72520,1,8,1
33,94772,4,26,3
22,80106,3,17,2
52,111121,3,8,2
29,55559,3,7,2
42,135595,5,30,3
69,63742,2,7,2
38,99669,4,3,2
53,182826,5,1,3
40,165044,4,4,2
33,100831,4,25,3
56,142217,2,5,1
62,71873,3,1,2
59,136532,2,15,1
56,156267,5,5,3
31,170975,5,13,4
48,164092,5,8,3
22,71755,2,8,2
52,115956,4,5,2
40,116988,4,28,2
46,75648,1,9,1
60,155991,5,1,3
28,170588,4,4,3
35,145005,1,3,1
64,32396,4,2,3
29,114082,5,8,3
26,180201,3,23,2
27,158322,5,9,3
61,162663,2,2,1
34,41303,4,14,3
55,191633,4,14,2
24,101719,2,4,2
63,129616,2,30,1
30,154165,3,6,2
57,116231,4,11,2
59,37314,4,3,3
26,49623,3,8,2
67,135228,1,3,1
44,194202,3,14,2
19,127624,5,28,4
22,187364,4,13,3
46,141785,2,13,1
54,116206,5,2,3
55,99274,4,13,2
36,163541,3,29,2
25,83947,5,19,4
65,183606,4,27,2
62,78874,1,6,1
18,79708,1,16,1
39,104553,2,2,1
69,98344,4,8,2
34,79138,1,17,1
24,77638,3,23,3
42,108249,4,2,2
62,135865,3,10,2
21,32719,3,28,3
53,183962,1,16,1
23,197581,4,6,3
48,72534,5,28,3
36,122241,1,2,1
61,179859,1,2,1
56,156209,4,26,2
44,122124,4,13,2
27,121659,3,24,2
43,194134,4,15,2
36,105713,3,28,2
56,105418,1,2,1
20,158232,2,7,2
62,195904,5,3,3
30,193038,1,8,1
67,174059,4,23,2
45,198383,5,14,3
37,61575,2,24,2
45,93852,2,30,1
25,162079,3,23,2
58,106242,5,27,3
56,59257,3,22,2
18,174353,1,29,1
20,91246,5,7,3
30,31435,1,21,1
45,121357,3,7,2
66,187732,5,1,3
42,166156,3,17,2
50,174579,5,9,3
55,113807,3,30,2
23,145953,2,21,2
61,168563,3,13,2
62,153797,2,21,1
49,93888,3,19,2
62,103609,5,21,3
64,39077,5,19,3
38,50953,5,25,3
33,144682,4,25,3
38,97889,1,22,1
28,184893,5,17,4
54,198639,2,23,1
53,145374,5,23,3
52,54860,4,30,3
36,182267,2,10,1
37,107475,4,10,2
35,117266,2,4,1
64,182499,3,8,2
58,130732,1,22,1
66,57083,1,20,1
31,87372,4,20,3
32,153786,1,18,1
48,37813,4,14,3
18,61598,4,18,3
20,123106,4,28,3
33,57082,1,14,1
40,59241,4,20,3
28,41745,1,21,1
29,56029,4,24,3
27,174097,5,15,4
49,153395,4,22,2
33,175360,2,30,2
25,119186,4,4,3
55,167612,3,13,2
29,127768,4,27,3
41,71846,2,23,2
45,105932,2,8,1
25,178554,1,18,1
45,53411,5,12,3
53,108797,4,23,2
43,82307,1,14,1
25,164165,5,2,3
67,52042,4,18,3
45,82930,3,24,2
45,127883,4,2,2
54,63756,2,11,2
58,83268,2,9,1
53,189674,3,12,2
44,78901,1,17,1
34,129986,5,15,4
26,193268,4,25,3
50,158386,2,17,1
37,35626,1,26,1
30,168496,3,29,2
45,42857,2,26,2
65,181054,3,18,2
46,163052,4,22,2
30,56431,5,6,4
63,114976,2,17,1
52,112711,2,23,1
23,56385,4,24,3
35,199230,1,18,1
68,184091,5,8,3
22,48639,2,9,2
64,115530,5,6,3
42,51563,2,5,2
19,145672,5,12,4
27,166848,3,25,2
47,197516,2,29,1
67,169783,5,28,3
62,112970,1,11,1
22,115553,3,25,2
50,191779,3,1,2
18,112879,1,11,1
35,199899,5,19,3
49,166727,4,9,2
64,74859,1,27,1
66,82098,5,2,3
28,176323,1,12,1
38,152413,1,4,1
43,30526,2,4,2
42,98760,5,18,3
39,77837,4,15,3
44,41536,2,19,2
66,58541,1,13,1
30,109083,1,19,1
50,64531,1,17,1
51,38712,5,6,3
58,134101,5,16,3
52,95455,2,24,1
18,104744,4,12,3
38,159749,2,19,1
65,35109,3,5,2
23,79268,1,17,1
45,84615,1,26,1
34,112503,1,23,1
22,190831,2,26,2
48,115708,2,29,1
22,132471,1,1,1
55,187661,2,28,1
20,191087,5,27,4
40,190081,5,25,3
54,113309,2,24,1
54,156446,1,23,1
27,136661,2,10,2
27,187215,2,15,2
36,36154,2,23,2
34,182876,3,21,2
38,94288,5,21,3
31,81195,4,11,3
26,50581,4,13,3
63,60087,3,5,2
18,194053,2,1,2
68,99298,3,24,2
62,76167,3,12,2
30,69499,1,11,1
21,155816,5,17,4
18,199631,4,4,3
66,126347,2,15,1
57,78787,4,25,3
49,65488,4,30,3
51,104441,5,9,3
45,52431,4,21,3
48,91681,4,20,2
25,152720,3,19,2
56,79153,5,19,3
43,36368,1,12,1
51,188496,2,5,1
20,142360,4,10,3
67,142755,2,17,1
29,86985,1,5,1
18,80069,2,22,2
61,82326,1,16,1
22,138737,3,7,2
47,184470,4,28,2
47,80861,1,9,1
34,105897,2,3,2
65,157118,4,15,2
64,98577,3,16,2
40,39078,4,18,3
32,186075,1,14,1
54,92768,3,3,2
38,81047,2,12,1
31,101626,3,9,2
19,87660,3,28,2
28,162997,5,7,3
68,147832,3,9,2
56,160406,3,13,2
55,155150,4,18,2
51,187087,2,5,1
55,63320,4,13,3
67,94881,4,4,2
51,120827,1,2,1
35,132215,4,16,2
47,187361,5,9,3
32,164461,5,9,3
44,186755,1,6,1
68,174701,2,11,1
51,91550,2,22,1
69,54826,4,24,3
55,130734,4,22,2
50,187702,4,1,2
41,128511,2,4,1
32,41653,3,13,3
47,189033,5,23,3
59,111941,3,13,2
68,63662,3,13,2
34,128818,2,2,2
22,182360,3,9,2
46,125081,1,24,1
21,66877,4,8,3
27,141562,1,7,1
34,176385,5,4,3
27,102715,4,18,3
34,171398,3,3,2
37,140091,5,28,3
41,162632,4,6,2
22,109148,3,12,2
51,113186,1,12,1
23,187817,4,21,3
19,192962,3,28,2
30,181094,1,8,1
60,153629,5,22,3
60,100316,5,22,3
65,58380,5,1,3
28,140198,5,4,3
68,32356,2,21,2
64,100326,4,28,2
40,122447,4,11,2
33,144994,2,3,2
48,50049,3,13,2
28,135361,3,25,2
33,46082,5,17,4
25,30661,1,22,1
21,198484,3,22,2
57,32920,1,10,1
21,109561,4,21,3
42,38946,1,12,1
20,46309,4,15,3
49,85230,2,21,1
20,141822,2,10,2
44,191099,5,14,3
46,142340,3,13,2
49,89321,5,5,3
67,162028,4,6,2
68,104131,5,24,3
36,55963,1,2,1
38,131757,4,22,2
22,129259,2,17,2
35,69063,3,4,2
45,144225,4,14,2
59,146400,4,10,2
39,110818,1,3,1
38,34703,3,25,2
23,102099,2,3,2
18,186921,4,15,3
22,192932,4,6,3
58,61585,1,17,1
29,183087,5,12,4
43,73585,2,22,2
63,56958,3,20,2
51,56017,4,24,3
66,154677,4,29,2
31,173273,2,11,2
43,59426,5,25,3
62,47778,4,4,3
44,72229,2,26,2
26,116652,1,28,1
43,158267,5,26,3
64,156503,3,6,2
39,114878,4,1,2
64,87056,2,20,1
47,188562,1,23,1
60,49975,3,28,2
65,187795,2,16,1
34,184351,2,15,2
43,172633,3,17,2
53,118397,1,8,1
18,63142,1,28,1
25,56916,5,26,4
66,94324,4,12,2
52,155932,3,27,2
69,165720,3,22,2
32,196205,3,21,2
64,126059,1,10,1
39,128317,4,27,2
31,65046,5,15,4
43,131459,2,30,1
45,75893,2,9,2
40,131520,3,2,2
31,155818,4,5,3
41,91272,1,6,1
19,97649,4,7,3
62,94674,4,21,2
43,174832,1,25,1
31,182999,3,1,2
68,116475,4,23,2
24,91367,2,26,2
20,173660,1,7,1
64,151750,5,20,3
40,148154,3,25,2
63,74738,1,30,1
60,63397,5,12,3
64,112189,5,16,3
62,106367,4,16,2
35,150585,4,11,2
55,106619,4,21,2
